org,dest,q
0,1,23586.0
0,2,19779.0
0,3,17906.0
0,4,15032.0
0,5,21037.0
0,6,7473.0
0,7,7064.0
0,8,6692.0
0,9,7456.0
0,10,8324.0
0,11,4260.0
0,12,7099.0
0,13,30487.0
0,14,4926.0
0,15,6774.0
0,16,5181.0
0,17,7612.0
0,18,12697.0
0,19,14775.0
0,20,70741.0
1,0,14707.0
1,2,11096.0
1,3,7576.0
1,4,6336.0
1,5,8867.0
1,6,3162.0
1,7,2977.0
1,8,2820.0
1,9,3750.0
1,10,3508.0
1,11,2550.0
1,12,3874.0
1,13,16637.0
1,14,2478.0
1,15,2855.0
1,16,3070.0
1,17,3220.0
1,18,5372.0
1,19,6228.0
1,20,29817.0
2,0,11032.0
2,1,9926.0
2,3,8039.0
2,4,6749.0
2,5,9445.0
2,6,3355.0
2,7,3171.0
2,8,3004.0
2,9,3122.0
2,10,3737.0
2,11,1620.0
2,12,1899.0
2,13,8156.0
2,14,1765.0
2,15,3041.0
2,16,2326.0
2,17,3417.0
2,18,5700.0
2,19,6634.0
2,20,31760.0
3,0,15745.0
3,1,10683.0
3,2,12673.0
3,4,5905.0
3,5,8264.0
3,6,2567.0
3,7,3199.0
3,8,2857.0
3,9,4321.0
3,10,3085.0
3,11,2730.0
3,12,4463.0
3,13,19167.0
3,14,2855.0
3,15,3068.0
3,16,3287.0
3,17,2600.0
3,18,4337.0
3,19,5804.0
3,20,27790.0
4,0,8765.0
4,1,5925.0
4,2,7055.0
4,3,3916.0
4,5,3450.0
4,6,1429.0
4,7,1652.0
4,8,1369.0
4,9,2396.0
4,10,1226.0
4,11,1520.0
4,12,2475.0
4,13,10630.0
4,14,1583.0
4,15,1702.0
4,16,1830.0
4,17,1665.0
4,18,2777.0
4,19,2717.0
4,20,13320.0
5,0,15382.0
5,1,10397.0
5,2,12381.0
5,3,6872.0
5,4,4326.0
5,6,2508.0
5,7,2899.0
5,8,2403.0
5,9,4205.0
5,10,2750.0
5,11,2667.0
5,12,4344.0
5,13,18654.0
5,14,2778.0
5,15,2986.0
5,16,3211.0
5,17,2921.0
5,18,4873.0
5,19,4768.0
5,20,23375.0
6,0,6527.0
6,1,4429.0
6,2,5254.0
6,3,2549.0
6,4,2140.0
6,5,2995.0
6,7,1249.0
6,8,1035.0
6,9,1791.0
6,10,1118.0
6,11,1132.0
6,12,1850.0
6,13,7946.0
6,14,1183.0
6,15,1272.0
6,16,1362.0
6,17,1084.0
6,18,1808.0
6,19,2104.0
6,20,10072.0
7,0,7897.0
7,1,5338.0
7,2,6356.0
7,3,4068.0
7,4,3167.0
7,5,4433.0
7,6,1599.0
7,8,1410.0
7,9,2159.0
7,10,1754.0
7,11,1369.0
7,12,2230.0
7,13,9577.0
7,14,1426.0
7,15,1533.0
7,16,1648.0
7,17,1729.0
7,18,2884.0
7,19,3113.0
7,20,14906.0
8,0,5868.0
8,1,3966.0
8,2,4723.0
8,3,2849.0
8,4,2059.0
8,5,2882.0
8,6,1040.0
8,7,1106.0
8,9,1604.0
8,10,1140.0
8,11,1017.0
8,12,1657.0
8,13,7116.0
8,14,1060.0
8,15,1139.0
8,16,1225.0
8,17,1211.0
8,18,2020.0
8,19,2024.0
8,20,9692.0
9,0,5576.0
9,1,4498.0
9,2,4186.0
9,3,3675.0
9,4,3073.0
9,5,4301.0
9,6,1534.0
9,7,1444.0
9,8,1368.0
9,10,1702.0
9,11,967.0
9,12,1462.0
9,13,6277.0
9,14,935.0
9,15,1385.0
9,16,1164.0
9,17,1562.0
9,18,2606.0
9,19,3021.0
9,20,14464.0
10,0,4505.0
10,1,3045.0
10,2,3626.0
10,3,1899.0
10,4,1138.0
10,5,2036.0
10,6,693.0
10,7,849.0
10,8,704.0
10,9,1232.0
10,11,781.0
10,12,1272.0
10,13,5463.0
10,14,814.0
10,15,875.0
10,16,940.0
10,17,807.0
10,18,1346.0
10,19,1430.0
10,20,6846.0
11,0,2493.0
11,1,2393.0
11,2,1700.0
11,3,1817.0
11,4,1525.0
11,5,2135.0
11,6,758.0
11,7,717.0
11,8,679.0
11,9,757.0
11,10,845.0
11,12,610.0
11,13,2620.0
11,14,500.0
11,15,687.0
11,16,526.0
11,17,772.0
11,18,1288.0
11,19,1499.0
11,20,7178.0
12,0,3743.0
12,1,3276.0
12,2,1795.0
12,3,2676.0
12,4,2238.0
12,5,3132.0
12,6,1117.0
12,7,1052.0
12,8,996.0
12,9,1030.0
12,10,1239.0
12,11,550.0
12,13,2006.0
12,14,582.0
12,15,1009.0
12,16,789.0
12,17,1138.0
12,18,1898.0
12,19,2200.0
12,20,10533.0
13,0,16936.0
13,1,14822.0
13,2,8123.0
13,3,12110.0
13,4,10127.0
13,5,14173.0
13,6,5054.0
13,7,4759.0
13,8,4508.0
13,9,4662.0
13,10,5608.0
13,11,2486.0
13,12,2113.0
13,14,2635.0
13,15,4564.0
13,16,3571.0
13,17,5147.0
13,18,8586.0
13,19,9954.0
13,20,47660.0
14,0,2520.0
14,1,2033.0
14,2,1618.0
14,3,1661.0
14,4,1389.0
14,5,1944.0
14,6,693.0
14,7,653.0
14,8,618.0
14,9,639.0
14,10,769.0
14,11,437.0
14,12,565.0
14,13,2426.0
14,15,626.0
14,16,526.0
14,17,706.0
14,18,1177.0
14,19,1365.0
14,20,6536.0
15,0,6794.0
15,1,4593.0
15,2,5469.0
15,3,3500.0
15,4,2927.0
15,5,4096.0
15,6,1461.0
15,7,1375.0
15,8,1303.0
15,9,1857.0
15,10,1621.0
15,11,1178.0
15,12,1919.0
15,13,8240.0
15,14,1227.0
15,16,1418.0
15,17,1488.0
15,18,2482.0
15,19,2877.0
15,20,13775.0
16,0,3142.0
16,1,2986.0
16,2,2529.0
16,3,2267.0
16,4,1903.0
16,5,2663.0
16,6,946.0
16,7,894.0
16,8,847.0
16,9,944.0
16,10,1054.0
16,11,545.0
16,12,908.0
16,13,3898.0
16,14,624.0
16,15,857.0
16,17,963.0
16,18,1607.0
16,19,1870.0
16,20,8955.0
17,0,1732.0
17,1,1175.0
17,2,1394.0
17,3,673.0
17,4,650.0
17,5,909.0
17,6,282.0
17,7,352.0
17,8,314.0
17,9,475.0
17,10,339.0
17,11,300.0
17,12,491.0
17,13,2109.0
17,14,314.0
17,15,338.0
17,16,362.0
17,18,195.0
17,19,639.0
17,20,3057.0
18,0,3686.0
18,1,2501.0
18,2,2967.0
18,3,1432.0
18,4,1383.0
18,5,1935.0
18,6,601.0
18,7,749.0
18,8,669.0
18,9,1012.0
18,10,722.0
18,11,639.0
18,12,1045.0
18,13,4488.0
18,14,668.0
18,15,718.0
18,16,770.0
18,17,249.0
18,19,1359.0
18,20,6507.0
19,0,12754.0
19,1,8621.0
19,2,10266.0
19,3,5698.0
19,4,4022.0
19,5,5628.0
19,6,2079.0
19,7,2404.0
19,8,1993.0
19,9,3487.0
19,10,2281.0
19,11,2211.0
19,12,3602.0
19,13,15468.0
19,14,2304.0
19,15,2476.0
19,16,2662.0
19,17,2422.0
19,18,4040.0
19,20,19382.0
20,0,71073.0
20,1,48042.0
20,2,57206.0
20,3,31753.0
20,4,22950.0
20,5,32119.0
20,6,11586.0
20,7,13395.0
20,8,11104.0
20,9,19430.0
20,10,12709.0
20,11,12321.0
20,12,20071.0
20,13,86195.0
20,14,12837.0
20,15,13798.0
20,16,14836.0
20,17,13498.0
20,18,22515.0
20,19,22559.0
